,SampleDate,N Gene gc/g dry weight,N Gene gc/g dry weight UCI,N Gene gc/g dry weight LCI,PMMoV gc/g dry weight,PMMoV gc/g dry weight UCI,PMMoV gc/g dry weight LCI,BCoV Recovery,BCoV Recovery UCI,BCoV Recovery LCI,N_norm_PMMoV,City
198,2022-10-27,83949.1587490719,97204.2433511786,71958.6047542353,2159157025.87796,2246331602.83231,2070638615.93267,1.661,1.933,1.364,3.888052501180934e-05,Modesto
199,2022-10-28,,,,,,,,,,,Modesto
200,2022-10-29,,,,,,,,,,,Modesto
201,2022-10-30,131586.292972624,174414.662314912,95379.0211204481,2612191480.72329,3044152064.19655,2236841761.89226,0.878,0.999,0.767,5.037390786382515e-05,Modesto
202,2022-10-31,,,,,,,,,,,Modesto
203,2022-11-01,71835.1050898277,82272.0728275312,62531.1271133908,1467152085.33677,1603548068.55596,1337452076.76175,0.771,0.922,0.625,4.8962275832050956e-05,Modesto
204,2022-11-02,96314.4878562099,110628.441489907,78231.1196585341,2133235150.68449,2218064144.56117,2054371799.3244,1.263,1.389,1.137,4.514949410303197e-05,Modesto
205,2022-11-03,119023.267711006,135606.844795907,101101.244905727,1398096572.46732,1486531749.00594,1311960733.29818,1.582,1.908,1.246,8.513236499890507e-05,Modesto
206,2022-11-04,,,,,,,,,,,Modesto
207,2022-11-05,,,,,,,,,,,Modesto
208,2022-11-06,61102.9246992275,76026.9483916504,45023.8059363664,1121050635.08464,1226411143.08819,1019807204.07629,1.251,1.386,1.121,5.450505337309246e-05,Modesto
209,2022-11-07,,,,,,,,,,,Modesto
210,2022-11-08,233745.511746731,265900.542097051,204418.525972108,3216945164.91697,3519830510.49114,2932256845.66406,1.282,1.433,1.142,7.266070752336372e-05,Modesto
211,2022-11-09,85163.5653485512,95408.5673784115,75339.3339210139,1794512730.66962,1862624575.98649,1724847912.50004,1.143,1.272,1.02,4.745776605149663e-05,Modesto
212,2022-11-10,222130.280770453,310913.475917173,131739.125495658,2342975449.19525,2456990203.97627,2221579407.01286,1.183,1.35,1.022,9.480691777916362e-05,Modesto
213,2022-11-11,,,,,,,,,,,Modesto
214,2022-11-12,,,,,,,,,,,Modesto
215,2022-11-13,216754.635190156,250020.185028128,185878.058861965,3403187171.07972,3630916476.23788,3186648654.31435,1.598,1.777,1.421,6.369165852296829e-05,Modesto
216,2022-11-14,,,,,,,,,,,Modesto
217,2022-11-15,123493.01802559,138348.738442227,109742.115685492,3396491655.37107,3499679271.46479,3292739626.67238,0.873,0.991,0.764,3.6358993501515987e-05,Modesto
218,2022-11-16,269085.252258187,288405.838271668,249767.423017953,2555958399.67512,2663545269.68305,2456206399.33721,0.934,1.04,0.836,0.00010527763374098326,Modesto
219,2022-11-17,274527.430521069,294822.538870825,254235.243355048,3258715478.16532,3352383217.63132,3166199240.96688,1.024,1.186,0.834,8.424406253338505e-05,Modesto
220,2022-11-18,,,,,,,,,,,Modesto
221,2022-11-19,,,,,,,,,,,Modesto
