,Date,County,Rt,Rt_LCI,Rt_UCI
2061,2023-01-09,Stanislaus,0.8255585673170445,0.719217730215119,0.9416634655383821
2062,2023-01-10,Stanislaus,0.8361411162398834,0.7269829571638524,0.9560934632274203
2063,2023-01-11,Stanislaus,0.8513661465954092,0.7387706879369449,0.9766157089762004
2064,2023-01-12,Stanislaus,0.8698776732489057,0.753362733057263,0.9999775772654332
2065,2023-01-13,Stanislaus,0.8911120990977206,0.7694541727199891,1.0246373182814374
2066,2023-01-14,Stanislaus,0.9099779621415782,0.7845367133539252,1.0453993164857298
2067,2023-01-15,Stanislaus,0.9272876707585387,0.7997474091444732,1.0674762537879965
2068,2023-01-16,Stanislaus,0.947712226458407,0.8157533376525867,1.0929169377412826
2069,2023-01-17,Stanislaus,0.9715832083097417,0.8357823642235676,1.1183250003862588
2070,2023-01-18,Stanislaus,0.9932384894961497,0.8560368651633117,1.1424684253864865
2071,2023-01-19,Stanislaus,1.0189245160536184,0.8803164828703749,1.1724808948964869
2072,2023-01-20,Stanislaus,1.045839139126449,0.905524025394981,1.2024332427194095
2073,2023-01-21,Stanislaus,1.0760349331067411,0.9315832714675394,1.235216159167553
2074,2023-01-22,Stanislaus,1.1035299667378342,0.9587314249132732,1.26018253034522
2075,2023-01-23,Stanislaus,1.129489210263315,0.9835482014350156,1.2892841418465113
2076,2023-01-24,Stanislaus,1.145367517461858,0.9994964619923563,1.304296184230392
2077,2023-01-25,Stanislaus,1.163064183400322,1.019258586435726,1.3221303120132422
2078,2023-01-26,Stanislaus,1.1724295174008952,1.0299751857343735,1.3280871481889085
2079,2023-01-27,Stanislaus,1.1825986839383362,1.0399413556010042,1.3350955069888046
2080,2023-01-28,Stanislaus,1.18776376610831,1.0480371886605693,1.337608558259507
2081,2023-01-29,Stanislaus,1.185477655678198,1.0494477601731858,1.3348456545409855
2082,2023-01-30,Stanislaus,1.1763217140400268,1.0432692690016352,1.3191652166492847
2083,2023-01-31,Stanislaus,1.159961585602087,1.0301212206521402,1.2992181186338234
2084,2023-02-01,Stanislaus,1.133443137955567,1.0090076530330387,1.2682506124054589
2085,2023-02-02,Stanislaus,1.1044443880333616,0.9836149838284491,1.236247420091755
2086,2023-02-03,Stanislaus,1.073142924113664,0.9552579032549927,1.1995630276533016
2087,2023-02-04,Stanislaus,1.0360250677991563,0.9214855513153215,1.1595514651388845
2088,2023-02-05,Stanislaus,1.001971015818822,0.8906615633992743,1.1225122886367755
2089,2023-02-06,Stanislaus,0.9712463485658582,0.8619454621388256,1.088279372020879
2090,2023-02-07,Stanislaus,0.9408634136285154,0.8337180148062393,1.0583322009005425
2091,2023-02-08,Stanislaus,0.9182486522018491,0.8122187266404398,1.0326935855650445
2092,2023-02-09,Stanislaus,0.8973062503900535,0.7919234595210529,1.0127224606506378
2093,2023-02-10,Stanislaus,0.8844619558711542,0.7783565494669007,1.0011673902484972
2094,2023-02-11,Stanislaus,0.8811920930071502,0.7738541835309831,0.9990176770466076
2095,2023-02-12,Stanislaus,0.8889804463891509,0.7795885098890576,1.008865700402196
2096,2023-02-13,Stanislaus,0.9137510157882487,0.8003620625102499,1.0359186378797898
2097,2023-02-14,Stanislaus,0.9539895896310342,0.8372283572632522,1.0814124239007135
2098,2023-02-15,Stanislaus,1.011915245609805,0.8897857590340839,1.143016215778581
2099,2023-02-16,Stanislaus,1.0817072377282397,0.9542152523372993,1.2204965642173096
2100,2023-02-17,Stanislaus,1.1637306894505666,1.0319617432561778,1.305645425711143
2101,2023-02-18,Stanislaus,1.2436950110766727,1.1071504573975528,1.391575756064149
2102,2023-02-19,Stanislaus,1.313725116702712,1.1751152229368036,1.4628750236767083
2103,2023-02-20,Stanislaus,1.3592238658382367,1.2221912628115073,1.5062078319150243
2104,2023-02-21,Stanislaus,1.3794492079356424,1.2453710996109248,1.5231068743730507
2105,2023-02-22,Stanislaus,1.379279078533977,1.251141671552901,1.5175278853368794
2106,2023-02-23,Stanislaus,1.3526328226469329,1.2301625453426699,1.4832273673997447
2107,2023-02-24,Stanislaus,1.3133463147470135,1.1969631262430305,1.4376721948835853
2108,2023-02-25,Stanislaus,1.268209911413948,1.15763744105596,1.3847398375291182
2109,2023-02-26,Stanislaus,1.2150250644363738,1.1120492434841975,1.3252401616999328
2110,2023-02-27,Stanislaus,1.1640581049011673,1.065200306871092,1.269110718358248
2111,2023-02-28,Stanislaus,1.112543189810804,1.0182291709386693,1.2127868672121616
2112,2023-03-01,Stanislaus,1.0645952080862988,0.9745166800366223,1.160190315667846
2113,2023-03-02,Stanislaus,1.022256832324917,0.934804534384202,1.1146571670644907
2114,2023-03-03,Stanislaus,0.982610957486448,0.8980047957600723,1.0722083904065252
2115,2023-03-04,Stanislaus,0.9478306571740043,0.86534775025987,1.03594496129617
2116,2023-03-05,Stanislaus,0.9200776543344708,0.8380531376496081,1.0067834470122539
2117,2023-03-06,Stanislaus,0.8923517260429533,0.8126962239287243,0.9780248284398201
2118,2023-03-07,Stanislaus,0.8703794987521751,0.788870610798195,0.956239169418337
2119,2023-03-08,Stanislaus,0.8507944220048618,0.7699945248093525,0.9371411225065196
2120,2023-03-09,Stanislaus,0.8327381050442557,0.7521757815309374,0.9201457050001594
2121,2023-03-10,Stanislaus,0.819200673572918,0.7369907605099075,0.9069265264784494
2122,2023-03-11,Stanislaus,0.8044024346424297,0.7212623652623485,0.8937957492519031
2123,2023-03-12,Stanislaus,0.7877237435932896,0.703567293847015,0.8786225374761112
2124,2023-03-13,Stanislaus,0.7730120005118837,0.6870698316342314,0.8653688792627412
2125,2023-03-14,Stanislaus,0.7573090803985776,0.6702591514926113,0.8516001282519048
2126,2023-03-15,Stanislaus,0.7405581275148029,0.6527591739688503,0.8372063648071847
2127,2023-03-16,Stanislaus,0.7283983187789115,0.6373674560239942,0.8281115644439706
2128,2023-03-17,Stanislaus,0.714858235249279,0.6219088179712047,0.8167185943462458
2129,2023-03-18,Stanislaus,0.7016891376034218,0.6064168572742243,0.807106506362829
2130,2023-03-19,Stanislaus,0.6901699015277217,0.5914361540163601,0.7989484094565259
2131,2023-03-20,Stanislaus,0.6751036810347167,0.5744068055967027,0.78746634335079
2132,2023-03-21,Stanislaus,0.6634786305990793,0.5587186430933134,0.7806040674305318
2133,2023-03-22,Stanislaus,0.6547677336636069,0.546476757582076,0.7762786237766597
2134,2023-03-23,Stanislaus,0.650146111407498,0.5363862466652065,0.7786033728856359
2135,2023-03-24,Stanislaus,0.6494433323575663,0.5302391792150063,0.7851729520580826
2136,2023-03-25,Stanislaus,0.6553568553005394,0.5297926401965998,0.7994298010017877
2137,2023-03-26,Stanislaus,0.6664591266402283,0.5330201446832645,0.8213147391234725
2138,2023-03-27,Stanislaus,0.6853683235551166,0.5419404577171258,0.8512663785483743
2139,2023-03-28,Stanislaus,0.7144532483737673,0.560900473630455,0.8943519885152418
2140,2023-03-29,Stanislaus,0.7520472503048258,0.587952058251469,0.9458491161578365
2141,2023-03-30,Stanislaus,0.80078450106698,0.6246897504470657,1.0086044334268096
2142,2023-03-31,Stanislaus,0.8522996608940794,0.6611892257878993,1.0745399763319
2143,2023-04-01,Stanislaus,0.9061307868155345,0.7029118971995154,1.144611865107956
2144,2023-04-02,Stanislaus,0.951284000580479,0.7415887391860445,1.1990613214037895
2145,2023-04-03,Stanislaus,0.9864659026646254,0.7656259337075567,1.2466702651406485
2146,2023-04-04,Stanislaus,1.0045517209128636,0.7785266374953337,1.2717543141019316
2147,2023-04-05,Stanislaus,1.014398279285833,0.7854412981923364,1.2825990666429925
2148,2023-04-06,Stanislaus,1.0133805085615994,0.785275762584124,1.2831847692657488
2149,2023-04-07,Stanislaus,1.0031573937364868,0.7782988339784711,1.2678756453917486
2150,2023-04-08,Stanislaus,0.9905396881297268,0.7663805971582696,1.2583663969964431
2151,2023-04-09,Stanislaus,0.9868782286498778,0.7629790196740376,1.2498499063572335
2152,2023-04-10,Stanislaus,0.9854280921295606,0.7608567048930235,1.2536163932226478
2153,2023-04-11,Stanislaus,0.9930562603013451,0.764611516856207,1.2590164448311514
2154,2023-04-12,Stanislaus,1.0095705195611924,0.7783910250754114,1.2761024440956783
2155,2023-04-13,Stanislaus,1.035007837203785,0.8026535194222384,1.313080263230733
2156,2023-04-14,Stanislaus,1.074264030116547,0.8344917171526207,1.35635282780447
2157,2023-04-15,Stanislaus,1.118071716788433,0.8764863582272205,1.4082541777425601
2158,2023-04-16,Stanislaus,1.1711674420445695,0.9210169348256076,1.4684023493619756
2159,2023-04-17,Stanislaus,1.226847578200145,0.9692125631099862,1.5251201368532252
2160,2023-04-18,Stanislaus,1.266169918457017,1.00745006113715,1.5690683086317363
2161,2023-04-19,Stanislaus,1.2945288629286975,1.0427241391810438,1.5837593998861992
2162,2023-04-20,Stanislaus,1.298729636798564,1.0538879098550802,1.5753323466019196
2163,2023-04-21,Stanislaus,1.288240018474709,1.0505860439613115,1.5607375147577796
2164,2023-04-22,Stanislaus,1.2680943735911354,1.0400175984022075,1.5281558704451776
2165,2023-04-23,Stanislaus,1.2339702325838553,1.0177732989246318,1.485618959080718
2166,2023-04-24,Stanislaus,1.1939182468733271,0.9832087251330609,1.4330199253393896
2167,2023-04-25,Stanislaus,1.147868746398435,0.9439849815449884,1.3751304759197662
2168,2023-04-26,Stanislaus,1.0980626631596646,0.9024408973806847,1.3141201736914958
2169,2023-04-27,Stanislaus,1.0393712592863076,0.8551895048673696,1.247778288741562
2170,2023-04-28,Stanislaus,0.9845098129956212,0.8063530882987628,1.1840123983918431
