City,County_FIPS,PMMoV_gc_g_dry_weight,Population_Served,SC2_N_gc_g_dry_weight,SC2_N_norm_PMMoV,Site_Name,Zipcode,date,County
Carson,06037,2133580103.973064,3500000.0,274305.09317171713,0.000128565640756,Joint Water Pollution Control Plant,90745.0,2022-10-12,Los Angeles
Carson,06037,1414094130.3144655,3500000.0,90670.7595773585,6.411932390752176e-05,Joint Water Pollution Control Plant,90745.0,2022-10-16,Los Angeles
Carson,06037,1620686740.0447426,3500000.0,59124.17640089486,3.648094041866635e-05,Joint Water Pollution Control Plant,90745.0,2022-10-17,Los Angeles
Carson,06037,1186891004.444445,3500000.0,60511.78652929291,5.098344018338654e-05,Joint Water Pollution Control Plant,90745.0,2022-10-19,Los Angeles
Carson,06037,2663820246.5700483,3500000.0,78141.97263768114,2.9334551660644985e-05,Joint Water Pollution Control Plant,90745.0,2022-10-24,Los Angeles
Carson,06037,2241167534.4444447,3500000.0,123384.31677777776,5.5053589203612606e-05,Joint Water Pollution Control Plant,90745.0,2022-10-26,Los Angeles
Carson,06037,1791991682.48062,3500000.0,169410.70552971578,9.453766286191897e-05,Joint Water Pollution Control Plant,90745.0,2022-10-30,Los Angeles
Carson,06037,2141252088.5534592,3500000.0,138887.33343396228,6.486267272144907e-05,Joint Water Pollution Control Plant,90745.0,2022-10-31,Los Angeles
Carson,06037,1526758587.9365082,3500000.0,181768.29023492063,0.0001190550304882,Joint Water Pollution Control Plant,90745.0,2022-11-02,Los Angeles
Carson,06037,1878238932.3364484,3500000.0,195998.6820186916,0.0001043523689368,Joint Water Pollution Control Plant,90745.0,2022-11-06,Los Angeles
Carson,06037,1830287047.3563216,3500000.0,205722.50188505749,0.0001123990371795,Joint Water Pollution Control Plant,90745.0,2022-11-07,Los Angeles
Carson,06037,1049913032.437811,3500000.0,232439.18344278604,0.0002213889877174,Joint Water Pollution Control Plant,90745.0,2022-11-09,Los Angeles
Carson,06037,1291271972.7058823,3500000.0,205177.1014901961,0.0001588953418234,Joint Water Pollution Control Plant,90745.0,2022-11-13,Los Angeles
Carson,06037,1904921830.1369865,3500000.0,207094.8979726028,0.0001087156935766,Joint Water Pollution Control Plant,90745.0,2022-11-14,Los Angeles
Carson,06037,2967674230.857143,3500000.0,536923.2662349206,0.000180923923742,Joint Water Pollution Control Plant,90745.0,2022-11-16,Los Angeles
Carson,06037,1637791518.415841,3500000.0,557025.8212541253,0.0003401078922382,Joint Water Pollution Control Plant,90745.0,2022-11-20,Los Angeles
Carson,06037,1338014830.4491727,3500000.0,265084.99033569737,0.0001981181256763,Joint Water Pollution Control Plant,90745.0,2022-11-21,Los Angeles
Carson,06037,883840284.1307192,3500000.0,376293.8305882353,0.000425748675801,Joint Water Pollution Control Plant,90745.0,2022-11-23,Los Angeles
Carson,06037,3189638586.6666665,3500000.0,548811.9292631579,0.000172060850893,Joint Water Pollution Control Plant,90745.0,2022-11-27,Los Angeles
Carson,06037,1228063441.3201318,3500000.0,525342.5824950495,0.0004277813057689,Joint Water Pollution Control Plant,90745.0,2022-11-28,Los Angeles
Carson,06037,2247253825.333333,3500000.0,1004693.6034666664,0.0004470761567477,Joint Water Pollution Control Plant,90745.0,2022-11-30,Los Angeles
Carson,06037,1311779785.426357,3500000.0,709618.5609922479,0.0005409586036284,Joint Water Pollution Control Plant,90745.0,2022-12-04,Los Angeles
Carson,06037,1231205733.5031848,3500000.0,556274.4788789807,0.0004518127748611,Joint Water Pollution Control Plant,90745.0,2022-12-05,Los Angeles
Carson,06037,1163326430.0383143,3500000.0,871582.7912337164,0.0007492160142918,Joint Water Pollution Control Plant,90745.0,2022-12-07,Los Angeles
Carson,06037,2013109355.1020408,3500000.0,280205.0324353741,0.000139190169538,Joint Water Pollution Control Plant,90745.0,2022-12-11,Los Angeles
Carson,06037,1044069937.9844962,3500000.0,924765.8306976744,0.0008857316900464,Joint Water Pollution Control Plant,90745.0,2022-12-12,Los Angeles
Carson,06037,1106637942.2710624,3500000.0,376878.1445274725,0.0003405613797716,Joint Water Pollution Control Plant,90745.0,2022-12-14,Los Angeles
Carson,06037,2453170290.0869565,3500000.0,677748.9703884056,0.000276274734423,Joint Water Pollution Control Plant,90745.0,2022-12-18,Los Angeles
Carson,06037,2231781257.827716,3500000.0,536123.1543370787,0.0002402220882788,Joint Water Pollution Control Plant,90745.0,2022-12-19,Los Angeles
Carson,06037,881473767.7241379,3500000.0,502110.4133149426,0.0005696260418632,Joint Water Pollution Control Plant,90745.0,2022-12-21,Los Angeles
Carson,06037,1943764750.0,3500000.0,760190.9637777776,0.0003910920618237,Joint Water Pollution Control Plant,90745.0,2022-12-25,Los Angeles
Carson,06037,2405471047.529412,3500000.0,1118284.8163137254,0.0004648922369954,Joint Water Pollution Control Plant,90745.0,2022-12-26,Los Angeles
Carson,06037,991703712.636816,3500000.0,455681.2267462686,0.0004594933153317,Joint Water Pollution Control Plant,90745.0,2022-12-28,Los Angeles
Carson,06037,1421688821.7687075,3500000.0,527757.1386122447,0.0003712184625294,Joint Water Pollution Control Plant,90745.0,2023-01-01,Los Angeles
Carson,06037,1053974398.4652278,3500000.0,389195.9064556354,0.0003692650476352,Joint Water Pollution Control Plant,90745.0,2023-01-02,Los Angeles
Carson,06037,987980560.6837606,3500000.0,198762.0133333333,0.0002011800851585,Joint Water Pollution Control Plant,90745.0,2023-01-04,Los Angeles
Carson,06037,2114931363.4042556,3500000.0,313013.5231773049,0.000148001740668,Joint Water Pollution Control Plant,90745.0,2023-01-08,Los Angeles
Carson,06037,2115381260.9053495,3500000.0,568464.4282469136,0.0002687290649457,Joint Water Pollution Control Plant,90745.0,2023-01-09,Los Angeles
Carson,06037,1186674774.8012235,3500000.0,177868.14605504586,0.0001498878629865,Joint Water Pollution Control Plant,90745.0,2023-01-11,Los Angeles
Carson,06037,1251598029.268293,3500000.0,187832.54543089427,0.0001500741780016,Joint Water Pollution Control Plant,90745.0,2023-01-15,Los Angeles
Carson,06037,1057484162.1880344,3500000.0,149804.95480341878,0.0001416616533466,Joint Water Pollution Control Plant,90745.0,2023-01-16,Los Angeles
Carson,06037,1023358423.1446544,3500000.0,150878.65433962265,0.0001474348096691,Joint Water Pollution Control Plant,90745.0,2023-01-18,Los Angeles
Carson,06037,2743749664.329897,3500000.0,256297.58020618555,9.341143018190796e-05,Joint Water Pollution Control Plant,90745.0,2023-01-22,Los Angeles
Carson,06037,2606906068.2352943,3500000.0,121605.5365490196,4.664745616681871e-05,Joint Water Pollution Control Plant,90745.0,2023-01-23,Los Angeles
Carson,06037,1085130843.5772357,3500000.0,136392.97075338752,0.0001256926494723,Joint Water Pollution Control Plant,90745.0,2023-01-25,Los Angeles
Carson,06037,2562694905.333333,3500000.0,228895.96626666668,8.931846151108411e-05,Joint Water Pollution Control Plant,90745.0,2023-01-29,Los Angeles
Carson,06037,934411594.59695,3500000.0,235550.44203921568,0.0002520842457448,Joint Water Pollution Control Plant,90745.0,2023-01-30,Los Angeles
Carson,06037,1937388898.3188407,3500000.0,354998.42550724634,0.0001832355010474,Joint Water Pollution Control Plant,90745.0,2023-02-01,Los Angeles
Carson,06037,2146833632.0000007,3500000.0,342849.4135111111,0.0001597000384197,Joint Water Pollution Control Plant,90745.0,2023-02-05,Los Angeles
Carson,06037,1498264756.6222222,3500000.0,169614.4273777778,0.0001132072463348,Joint Water Pollution Control Plant,90745.0,2023-02-06,Los Angeles
Carson,06037,1516641185.5737703,3500000.0,394020.0805245901,0.0002597978244772,Joint Water Pollution Control Plant,90745.0,2023-02-08,Los Angeles
Carson,06037,2369415014.8427672,3500000.0,455043.3848553459,0.0001920488314646,Joint Water Pollution Control Plant,90745.0,2023-02-12,Los Angeles
Carson,06037,1547051376.4102569,3500000.0,231768.9015384615,0.000149813319113,Joint Water Pollution Control Plant,90745.0,2023-02-13,Los Angeles
Carson,06037,1211026343.7200737,3500000.0,193560.1419079189,0.0001598314874912,Joint Water Pollution Control Plant,90745.0,2023-02-15,Los Angeles
Carson,06037,1310877574.7878788,3500000.0,310579.0803393939,0.0002369245506313,Joint Water Pollution Control Plant,90745.0,2023-02-19,Los Angeles
Carson,06037,2177216227.831716,3500000.0,267393.8097087379,0.000122814540095,Joint Water Pollution Control Plant,90745.0,2023-02-20,Los Angeles
Carson,06037,2555312108.2706766,3500000.0,466755.3435588972,0.0001826607959349,Joint Water Pollution Control Plant,90745.0,2023-02-22,Los Angeles
Carson,06037,1131447844.3851852,3500000.0,229866.1409185185,0.0002031610578068,Joint Water Pollution Control Plant,90745.0,2023-02-26,Los Angeles
Carson,06037,1914149549.0636704,3500000.0,501109.0911161049,0.0002617920273581,Joint Water Pollution Control Plant,90745.0,2023-02-27,Los Angeles
Carson,06037,1869761119.2270527,3500000.0,236003.0280193236,0.0001262209517528,Joint Water Pollution Control Plant,90745.0,2023-03-01,Los Angeles
Carson,06037,1619925201.7518244,3500000.0,178507.33851094893,0.000110194803018,Joint Water Pollution Control Plant,90745.0,2023-03-05,Los Angeles
Carson,06037,1204659955.7834756,3500000.0,240083.00435327628,0.000199295247759,Joint Water Pollution Control Plant,90745.0,2023-03-06,Los Angeles
Carson,06037,1716308757.1189282,3500000.0,266708.9107403685,0.0001553968128602,Joint Water Pollution Control Plant,90745.0,2023-03-08,Los Angeles
Carson,06037,1490200594.7169812,3500000.0,198217.1400251572,0.0001330137303178,Joint Water Pollution Control Plant,90745.0,2023-03-12,Los Angeles
Carson,06037,1350041112.796537,3500000.0,212947.11882251085,0.000157733802922,Joint Water Pollution Control Plant,90745.0,2023-03-13,Los Angeles
Carson,06037,891831926.8571427,3500000.0,181389.5089523809,0.0002033897907104,Joint Water Pollution Control Plant,90745.0,2023-03-15,Los Angeles
Carson,06037,1639647741.9943018,3500000.0,152002.04663247857,9.270408682269684e-05,Joint Water Pollution Control Plant,90745.0,2023-03-19,Los Angeles
Carson,06037,1301831301.0101008,3500000.0,119759.2802424242,9.199293345420568e-05,Joint Water Pollution Control Plant,90745.0,2023-03-20,Los Angeles
Carson,06037,2391854205.771144,3500000.0,122063.79653731344,5.103312578283155e-05,Joint Water Pollution Control Plant,90745.0,2023-03-22,Los Angeles
Carson,06037,894491675.6989249,3500000.0,93703.98004705884,0.000104756682027,Joint Water Pollution Control Plant,90745.0,2023-03-26,Los Angeles
