"","date","SC2_N_norm_PMMoV","SC2_N_gc_g_dry_weight","N","county","Cases_N","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"865",2023-04-06,NA,NA,NA,"Yolo",116.724345971687,0.000125543532491603,1.43872393239512,6.14813998023644e-05,0.00012553968470692,0.00025640268889193,0.000125529731156204
"866",2023-04-07,0.0002089523689258,139433.185843963,139433.185843963,"Yolo",121.547778954521,0.000130731403199813,1.42786863268258,6.50306655830096e-05,0.000130696002412642,0.000263210581403782,0.000130622643365591
"867",2023-04-08,NA,NA,NA,"Yolo",120.685671198184,0.000129804158311714,1.44772146328903,6.2806451851895e-05,0.000129785325065622,0.000268490227522068,0.000129745042500883
"868",2023-04-09,NA,NA,NA,"Yolo",119.84691036357,0.000128902024337722,1.44673397143476,6.24192478672215e-05,0.000128908079908357,0.000266124853391362,0.000128923493797597
"869",2023-04-10,7.08082671218503e-05,64772.3191531551,64772.3191531551,"Yolo",119.031108458857,0.000128024583971032,1.42482623203285,6.38667430736212e-05,0.000128049419404878,0.000256352434178849,0.00012810199965712
"870",2023-04-11,NA,NA,NA,"Yolo",125.602054508024,0.000135092002271446,1.43303232463652,6.67056205358717e-05,0.000135063714674728,0.000273908887987072,0.000135003633976878
"871",2023-04-12,0.0002305834343974,198448.881655363,198448.881655363,"Yolo",132.556164018396,0.000142571534206261,1.41898799906891,7.18508728430407e-05,0.000142493562001935,0.000283768054479646,0.000142334237732827
"872",2023-04-13,NA,NA,NA,"Yolo",133.257673343547,0.000143326046540616,1.43292032925767,7.08666769413189e-05,0.000143234843382051,0.00029090850645317,0.000143049457613194
"873",2023-04-14,0.0001532275496754,64203.3206038982,64203.3206038982,"Yolo",133.985418491255,0.00014410877696276,1.42415341998317,7.21108738798792e-05,0.000144026621128165,0.000288912041130446,0.000143858663228077
"874",2023-04-15,NA,NA,NA,"Yolo",133.946696981974,0.000144067129823785,1.44527789782285,7.00466213803898e-05,0.000143965759843216,0.000297477892864951,0.000143760176909056
"875",2023-04-16,NA,NA,NA,"Yolo",133.930743712701,0.000144049971194515,1.44522313671569,7.00441344410097e-05,0.000143948060939691,0.000297423962082084,0.0001437414016174
"876",2023-04-17,0.0001621478557565,85433.188708327,85433.188708327,"Yolo",133.937543124847,0.000144057284340821,1.42398475721705,7.21035948417573e-05,0.000143973731333877,0.000288750694604378,0.000143802975581652
"877",2023-04-18,NA,NA,NA,"Yolo",132.405889188945,0.00014240990526093,1.43251725628376,7.04438175036504e-05,0.000142325223880902,0.000288857754608092,0.000142152703245153
"878",2023-04-19,0.0002588735568949,159071.804557674,159071.804557674,"Yolo",130.913570418193,0.000140804833341065,1.41831553801681,7.10101162416422e-05,0.000140738990792423,0.000279931530381849,0.000140603754334191
"879",2023-04-20,NA,NA,NA,"Yolo",121.683709093334,0.000130877603631751,1.43211904972322,6.46500984967743e-05,0.000130889262453567,0.000264813810785523,0.000130915099406447
"880",2023-04-21,6.39801168612603e-05,77441.563322353,77441.563322353,"Yolo",113.121176712417,0.000121668123353876,1.42403615526586,6.06822304124975e-05,0.000121747725819991,0.000243051042756841,0.000121908990345729
"881",2023-04-22,NA,NA,NA,"Yolo",112.270649662464,0.000120753334160226,1.44527029621368,5.8457988614529e-05,0.000120854132111985,0.000248265058265922,0.000121056209135345
"882",2023-04-23,NA,NA,NA,"Yolo",111.440801986789,0.000119860786784895,1.44530824728695,5.8018202394117e-05,0.000119964255901293,0.000246423163439542,0.000120171503453247
"883",2023-04-24,5.8268819383697e-05,77467.17385728,77467.17385728,"Yolo",110.631090274965,0.000118989896759717,1.42415285431319,5.93252081744366e-05,0.000119076028795726,0.000237693197857846,0.000119250044633792
"884",2023-04-25,NA,NA,NA,"Yolo",118.103396145211,0.000127026777729142,1.43211499878706,6.27376198633847e-05,0.000127045581128398,0.000256978073751916,0.000127085099543302
"885",2023-04-26,0.0001595982337148,50810.738123324,50810.738123324,"Yolo",126.097959518092,0.000135625375718313,1.41823041309397,6.83992294200199e-05,0.000135566755944951,0.00026957513232381,0.000135445523427393
"886",2023-04-27,NA,NA,NA,"Yolo",132.470555902707,0.000142479457911773,1.4332216486627,7.04980480686663e-05,0.000142331420790539,0.00028963530021835,0.000142032687211914
"887",2023-04-28,0.0003256068588598,232056.219641968,232056.219641968,"Yolo",139.18829328352,0.000149704758461692,1.42609637877404,7.48885972471934e-05,0.000149492320968464,0.000301645915974701,0.000149064220224209
"888",2023-04-29,NA,NA,NA,"Yolo",135.224979478106,0.000145441993814245,1.44685538043765,7.07430972665033e-05,0.000145208070030039,0.00030171997157042,0.000144739395659537
"889",2023-04-30,NA,NA,NA,"Yolo",131.396856179439,0.000141324634083272,1.44650931704607,6.87471821787989e-05,0.000141116000986362,0.000292932894874918,0.000140697501948829
"890",2023-05-01,0.0001394339227204,143610.27488357,143610.27488357,"Yolo",127.698039270546,0.00013734635057338,1.42502868008286,6.87451835326869e-05,0.000137195837748265,0.000276089952092683,0.000136891457837723
"891",2023-05-02,NA,NA,NA,"Yolo",124.018183959954,0.000133388461318111,1.4336355224272,6.59951748887649e-05,0.000133226295450668,0.000271442390227994,0.000132899958171301
"892",2023-05-03,0.0002447333797199,133833.790205882,133833.790205882,"Yolo",120.462218121058,0.000129563822086953,1.41953546056171,6.53358755581211e-05,0.000129428867224284,0.000258430729175485,0.000129156156060984
"893",2023-05-04,NA,NA,NA,"Yolo",109.734585626502,0.000118025656099157,1.43255042846212,5.83913953411877e-05,0.00011794671639638,0.000239459111371512,0.000117786489138943
"894",2023-05-05,0.0001268860044806,62752.3106251916,62752.3106251916,"Yolo",99.974109940648,0.000107527721103679,1.42346453194305,5.37873456196349e-05,0.000107515854957946,0.000215094273965261,0.000107489358628176
"895",2023-05-06,NA,NA,NA,"Yolo",89.5682061667364,9.63355922665511e-05,1.44501218213329,4.66781856714524e-05,9.63980876135827e-05,0.000198096669116531,9.65246740529877e-05
"896",2023-05-07,NA,NA,NA,"Yolo",80.2508392124624,8.63142453810965e-05,1.44638594864573,4.16529125645155e-05,8.64382458823314e-05,0.000177429584614796,8.66870737686225e-05
"897",2023-05-08,1.9472690035902e-05,38601.7279887059,38601.7279887059,"Yolo",71.906097110966,7.73390106737855e-05,1.42768825045012,3.82565397363089e-05,7.74794057115259e-05,0.000154772665706374,7.7763215355684e-05
"898",2023-05-09,NA,NA,NA,"Yolo",74.1013337465176,7.97001098908159e-05,1.43427244656216,3.91050573745688e-05,7.98159266555943e-05,0.000161123128283052,8.00493177083528e-05
"899",2023-05-10,8.34508828299486e-05,59292.1245963197,59292.1245963197,"Yolo",76.3654802806811,8.21353255402268e-05,1.41880143331319,4.12514998541519e-05,8.21985461222694e-05,0.000162836650124487,8.23274714259107e-05
"900",2023-05-11,NA,NA,NA,"Yolo",78.533242006508,8.44668739622365e-05,1.43229356983202,4.16717418268844e-05,8.45055864103612e-05,0.00017077248716898,8.45856760732018e-05
"901",2023-05-12,0.0001385288256264,87531.0857420244,87531.0857420244,"Yolo",80.7655708147038,8.68678678759797e-05,1.42345217960912,4.34382535455388e-05,8.6869404164174e-05,0.000173702628044733,8.68753621680691e-05
"902",2023-05-13,NA,NA,NA,"Yolo",79.1945420197343,8.51781389430427e-05,1.44466592405906,4.13574256459664e-05,8.51851118994954e-05,0.000175350710211016,8.52021765199827e-05
"903",2023-05-14,NA,NA,NA,"Yolo",77.6570094023599,8.35244370139434e-05,1.44467569699148,4.05468986649616e-05,8.35364219061092e-05,0.000171918621330244,8.35632687474381e-05
"904",2023-05-15,7.91319208953881e-05,40373.8199649593,40373.8199649593,"Yolo",76.1518737595303,8.19055798346049e-05,1.42348217926055,4.09379155272742e-05,8.19192966647689e-05,0.000163717434436841,8.19492175631587e-05
"905",2023-05-16,NA,NA,NA,"Yolo",74.9338873315801,8.05955676223387e-05,1.43212599431408,3.97971565297257e-05,8.06134369350644e-05,0.000163016410188311,8.06515734772575e-05
"906",2023-05-17,5.55159949978056e-05,52959.2466257081,52959.2466257081,"Yolo",73.7371916381269,7.93084547803439e-05,1.4180158046332,3.99359185549741e-05,7.93259982528996e-05,0.00015730311533346,7.93633327677207e-05
"907",2023-05-18,NA,NA,NA,"Yolo",75.2449037883906,8.09300831368696e-05,1.43208101781414,3.9996355496929e-05,8.09252587824758e-05,0.000163812619738845,8.09141077738901e-05
"908",2023-05-19,0.0001482471465965,122241.679542647,122241.679542647,"Yolo",76.785364722316,8.2586934633448e-05,1.4236052024786,4.13301511436909e-05,8.25588707101257e-05,0.000165343021161891,8.25012859303257e-05
"909",2023-05-20,NA,NA,NA,"Yolo",73.8267419399291,7.94047711154696e-05,1.44467300550469,3.85763834806197e-05,7.93946808203453e-05,0.000163562947991918,7.93731879703455e-05
"910",2023-05-21,NA,NA,NA,"Yolo",70.9834484215102,7.63466506416194e-05,1.44467897523608,3.70600685205042e-05,7.63591589396053e-05,0.000157135982228396,7.63864842490564e-05
"911",2023-05-22,6.45981857834002e-05,55177.4957046154,55177.4957046154,"Yolo",68.250445306789,7.3407153637148e-05,1.42362338017973,3.66622103457327e-05,7.34343514650787e-05,0.000146675160568063,7.34907660576461e-05
"912",2023-05-23,NA,NA,NA,"Yolo",66.4704433458827,7.14926624300749e-05,1.43242801721095,3.52520575990012e-05,7.15342293740638e-05,0.000144518270859834,7.16190130266313e-05
"913",2023-05-24,4.39801066106888e-05,46725.8065270164,46725.8065270164,"Yolo",64.7365620560089,6.96277765723752e-05,1.41854880325611,3.49939568581223e-05,6.96725967754426e-05,0.000138040578992733,6.97639731612635e-05
"914",2023-05-25,NA,NA,NA,"Yolo",66.0505701390139,7.10410654204702e-05,1.43234903729409,3.50399729383439e-05,7.10773884836572e-05,0.00014361804387757,7.11515912232852e-05
"915",2023-05-26,6.46040786926107e-05,49551.9608123399,49551.9608123399,"Yolo",67.3908168854282,7.24825754118479e-05,1.42352338175643,3.62181613535843e-05,7.25002573684374e-05,0.000144859097223335,7.25374268814429e-05
