,Date,SC2_N_norm_PMMoV,SC2_N_gc_g_dry_weight,N,County,Cases_N,mean,sd,0.025quant,0.5quant,0.975quant,mode,Rt_LCI,Rt_UCI,Rt
9821,2023-03-02,0.0003633104002904,197099.006055829,197099.006055829,Alameda,93.0,0.0003313841954699,1.34158711917398,0.0001874263336396,0.0003304206478548,0.0005954924175613,0.0003284934944127,0.8225197465534713,1.058238834421112,0.9356181715809109
9822,2023-03-03,,,,Alameda,91.0,0.0003222842910621,1.35698593517328,0.000178204418689,0.0003213006300128,0.0005929195123551,0.0003193677758462,0.8052542987689393,1.0412889285725537,0.9176333057964414
9823,2023-03-04,,,,Alameda,88.0,0.0003135584563019,1.36424392360811,0.0001714029651491,0.0003126754545314,0.0005827737059494,0.0003109543141688,0.7927616222175919,1.0289338626817086,0.9047605273444947
9824,2023-03-05,,,,Alameda,86.0,0.0003051873697668,1.36365559094012,0.0001667562307269,0.0003044647047419,0.0005660366395909,0.0003030583581815,0.7808324194310537,1.018674061510389,0.8951367453719796
9825,2023-03-06,,,,Alameda,84.0,0.0002971524864498,1.35518613621662,0.0001641533246225,0.000296617870495,0.0005433869806194,0.000295572514591,0.7721208907384193,1.0123012372538398,0.8861734104751917
9826,2023-03-07,0.0004215840430872,104552.231397849,104552.231397849,Alameda,82.0,0.000289436227126,1.33846209095476,0.0001636454699206,0.0002890992748174,0.0005152762235272,0.000288430592222,0.7675924290118911,1.0095098673596878,0.882507214669731
9827,2023-03-08,0.0002406497316584,102444.538144928,102444.538144928,Alameda,78.0,0.0002769226074626,1.33274268860341,0.0001575450183072,0.0002768346475128,0.0004876282334209,0.0002766570213208,0.7645042794636228,1.0123755419369318,0.8830023337262081
9828,2023-03-09,0.0002428778864611,116552.508998004,116552.508998004,Alameda,75.0,0.0002669212372911,1.33780396854124,0.0001504746184317,0.0002669811786809,0.0004728927652167,0.000267110469672,0.7672668357280927,1.0185263256394044,0.8875693987557414
9829,2023-03-10,,,,Alameda,73.0,0.0002585591420084,1.35428176656746,0.0001419947998536,0.0002587561654091,0.0004688126984734,0.0002591572654044,0.7722832535985054,1.0286197697438166,0.8942757534940384
9830,2023-03-11,,,,Alameda,71.0,0.0002505378193103,1.36253226561355,0.0001356942034503,0.0002508739020464,0.0004591209025352,0.0002515485431306,0.7787045282987075,1.04166090189245,0.9043742596233724
9831,2023-03-12,,,,Alameda,68.0,0.0002428391707398,1.36290128424733,0.0001312686230488,0.0002432897362871,0.0004446030112942,0.0002441913576569,0.7886523176673108,1.0563402203284231,0.9170257815813062
9832,2023-03-13,,,,Alameda,66.0,0.0002354462337113,1.355395532344,0.0001285841089022,0.0002359638244823,0.0004258645242984,0.0002370035785071,0.8001720657663398,1.0732533256742736,0.9302075989343622
9833,2023-03-14,0.0002031258114089,146413.49117603,146413.49117603,Alameda,64.0,0.000228343308665,1.33968603785549,0.0001276722752144,0.0002288500649418,0.0004033942228412,0.0002298802869291,0.8127611971936792,1.0913260086574432,0.9456676449228991
9834,2023-03-15,0.000343787252504,85797.4593850837,85797.4593850837,Alameda,63.0,0.0002226649305566,1.33515804114224,0.0001253038131188,0.0002231906919323,0.0003905321002909,0.0002242639935847,0.8272901037158101,1.1106884285651766,0.962506712548446
9835,2023-03-16,7.90265944600352e-05,65766.7716111111,65766.7716111111,Alameda,60.0,0.000212416935873,1.34303287723861,0.0001177379642478,0.0002131845476635,0.0003756248263574,0.0002147444897659,0.8432000285042069,1.1315729520237008,0.9803337146322056
9836,2023-03-17,,,,Alameda,60.0,0.0002126350006357,1.35857926843577,0.0001150089232446,0.0002134947992636,0.0003843698863977,0.0002152173563969,0.859025211217094,1.1536948481930451,0.9997006824460283
9837,2023-03-18,,,,Alameda,60.0,0.0002129056505843,1.36589691109634,0.0001139117263194,0.0002137629218248,0.0003890824119355,0.0002154702894522,0.876881319969929,1.1763948331167788,1.0188450281801165
9838,2023-03-19,,,,Alameda,60.0,0.0002132287020357,1.36530121354464,0.0001142829062861,0.0002140189936637,0.000389691914369,0.0002155931494226,0.8959023957084555,1.1960424484221681,1.037982892417355
9839,2023-03-20,,,,Alameda,60.0,0.0002136043659267,1.35677277796351,0.0001161202766803,0.0002142769654073,0.0003860889385912,0.0002156244132223,0.9096553382150225,1.2132230109054265,1.0541580155337726
9840,2023-03-21,0.0002167038556244,126237.369714286,126237.369714286,Alameda,60.0,0.000214033132503,1.33995052043014,0.0001195747313989,0.0002145403951591,0.0003780997193788,0.0002155700332786,0.9215519625389936,1.223842463892762,1.066089506895267
9841,2023-03-22,0.0001871925713408,87345.7795555555,87345.7795555555,Alameda,60.0,0.0002142422399897,1.33459573909292,0.0001207458552618,0.0002146924116486,0.0003757266656301,0.000215608258615,0.9295351228952748,1.2309730977266602,1.072732124443557
9842,2023-03-23,0.0001503185094882,18835.3964357233,18835.3964357233,Alameda,61.0,0.0002158071043445,1.33932173522023,0.0001207897616177,0.0002162425580051,0.0003812625488721,0.0002171231470969,0.930089210216124,1.2326039989654245,1.073784083474063
9843,2023-03-24,,,,Alameda,62.0,0.0002212401614994,1.35473864545001,0.0001211413074375,0.0002215916368037,0.0004004770807362,0.0002222960678111,0.9272283811036813,1.2295128951017218,1.0712709075377318
9844,2023-03-25,,,,Alameda,64.0,0.0002268698383928,1.36222330744547,0.0001231135638478,0.0002270525778738,0.0004161928676905,0.0002274239909185,0.9235941908561999,1.221699271672739,1.065608451785498
9845,2023-03-26,,,,Alameda,66.0,0.0002327056201459,1.36210073840294,0.0001266248637081,0.0002326818347142,0.0004279202090968,0.0002326404115489,0.9166071222075596,1.210089215548411,1.0557607755818412
9846,2023-03-27,,,,Alameda,67.0,0.0002387577424663,1.35438122762067,0.0001317330109963,0.0002385312109361,0.0004350648328758,0.0002380911760201,0.9059395577805511,1.195803194478153,1.0448832318535657
9847,2023-03-28,0.0002846296916391,120207.8039385,120207.8039385,Alameda,69.0,0.0002450368734816,1.33876121079006,0.000138614341312,0.0002446679152932,0.0004368407551283,0.0002439365698485,0.8925909473090846,1.1758464400560047,1.0274691495195158
9848,2023-03-29,0.0001708002636828,58166.8733181248,58166.8733181248,Alameda,70.0,0.0002498123446616,1.33456881385612,0.0001423936230805,0.0002493228762458,0.0004430930559984,0.000248346814701,0.8771499215106886,1.1593630853773877,1.0109838315890174
9849,2023-03-30,0.0009979546012457,523986.959983865,523986.959983865,Alameda,73.0,0.0002597615599986,1.34281792133956,0.0001468627388919,0.0002588712083971,0.0004683507767895,0.000257105989844,0.8620788155407149,1.1408191389701725,0.9950520596781267
9850,2023-03-31,,,,Alameda,71.0,0.0002530414366991,1.35755986605673,0.0001399505983154,0.000252172272577,0.0004664536992558,0.0002504798999271,0.8480217643110014,1.1245061776072096,0.977982572280905
9851,2023-04-01,,,,Alameda,69.0,0.0002465708293853,1.36433859661386,0.0001348296910155,0.0002458356379896,0.0004585666152188,0.000244411501821,0.8345185472812789,1.107286446245689,0.9644343542351675
9852,2023-04-02,,,,Alameda,68.0,0.0002403378805038,1.36342036944725,0.0001313378827217,0.0002397873100318,0.0004455133127241,0.0002387158575828,0.8223453661488719,1.0937991577291606,0.9522880432013819
9853,2023-04-03,,,,Alameda,66.0,0.0002343310680762,1.35475541867706,0.0001294209673698,0.0002339791197644,0.0004278740053175,0.0002332838111109,0.8139636989431738,1.0887119185204441,0.9441357599071319
9854,2023-04-04,0.000186973635958,83826.4198206938,83826.4198206938,Alameda,64.0,0.00022853945372,1.33796457183175,0.0001291518692486,0.0002283717696614,0.000406064161079,0.0002280295816849,0.8074188578110727,1.0830926238135454,0.9392423298821857
9855,2023-04-05,0.0002102280268926,139118.922430337,139118.922430337,Alameda,63.0,0.0002252274037335,1.33273869250958,0.0001282144341923,0.0002251056826845,0.0003968329262343,0.0002248541291807,0.8038862334577528,1.0802756915154907,0.9356635392860833
9856,2023-04-06,0.000249131264127,143474.817377703,143474.817377703,Alameda,63.0,0.0002228196773459,1.33786102165819,0.0001258809580686,0.0002226924452746,0.0003956627087003,0.0002224310481197,0.8012903981165163,1.082070824975025,0.934575840249057
